Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,test_preparation_course,math_score,reading_score,writing_score,science_score
S7194,Ahmed,Davis,student2189@university.com,Female,20.0,CS,74.04,66.38,54.98,74.96,68.56,6.37,67.99,70.1,B,1.0,96,58.0,66.0,45.0
S1704,Ahmed,Smith,student704@university.com,Male,20.0,Engineering,53.16,68.99,55.89,84.93,82.87,1.51,53.59,90.29,D,0.0,63,75.0,74.0,90.0
S8245,Liam,Johnson,student2482@university.com,Female,18.0,Engineering,62.64,46.17,61.66,65.45,86.71,9.95,65.59,93.85,F,1.0,39,85.0,79.0,83.0
S2770,John,Williams,student1770@university.com,Female,24.0,CS,86.39,61.05,91.45,54.4,87.96,3.8,62.31,64.5,A,0.0,64,100.0,49.0,74.0
S3923,Ali,Williams,student2923@university.com,Female,21.0,CS,94.51,42.55,95.62,91.14,80.87,7.38,81.15,83.23,B,0.0,25,87.0,61.0,72.0
S6333,Ali,Smith,student3527@university.com,Male,19.0,Engineering,51.77,59.95,78.4,67.02,56.92,8.28,54.99,96.25,F,1.0,100,36.0,93.0,83.0
S2464,John,Brown,student1464@university.com,Female,18.0,Engineering,85.13,49.59,54.71,69.93,85.07,1.36,55.02,63.29,A,0.0,99,92.0,92.0,83.0
S2391,Emma,Brown,student1391@university.com,Female,22.0,Engineering,68.47,54.11,52.78,92.21,82.62,5.9,52.28,65.34,D,1.0,59,98.0,63.0,61.0
S1415,Ali,Brown,student415@university.com,Female,18.0,Engineering,91.13,54.39,70.79,60.17,89.15,5.07,64.98,50.02,A,1.0,54,44.0,80.0,50.0
S1034,Emma,Davis,student34@university.com,Female,21.0,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F,0.0,32,71.0,74.0,70.0
S1255,John,Williams,student255@university.com,Female,21.0,Business,77.13,56.38,84.02,98.19,65.08,0.87,78.13,89.41,C,1.0,83,39.0,56.0,36.0
S9801,Emma,Smith,student1872@university.com,Male,19.0,CS,91.94,83.93,88.71,91.27,54.54,3.46,88.9,51.52,B,1.0,76,39.0,76.0,63.0
S3381,Ali,Jones,student2381@university.com,Male,18.0,CS,81.64,69.73,97.7,72.25,84.32,8.91,83.38,67.59,B,1.0,13,49.0,82.0,29.0
S4860,Liam,Jones,student3860@university.com,Female,23.0,CS,54.21,73.8,70.26,56.22,94.65,5.53,97.14,50.28,D,0.0,52,81.0,94.0,75.0
S7882,Omar,Davis,student4557@university.com,Male,22.0,Business,50.71,72.79,50.89,95.06,98.89,2.98,56.09,58.35,B,0.0,76,79.0,57.0,71.0
S3858,Ali,Smith,student2858@university.com,Male,18.0,Mathematics,61.73,42.11,91.07,78.35,57.85,4.41,67.76,86.46,F,0.0,69,71.0,91.0,39.0
S3735,Emma,Williams,student2735@university.com,Male,20.0,CS,92.55,67.4,45.28,60.87,92.43,9.94,88.02,69.67,A,0.0,58,66.0,100.0,9.0
S10500,Maria,Jones,student1922@university.com,Female,23.0,CS,69.79,82.62,98.16,93.49,60.71,1.56,51.12,76.35,D,0.0,77,96.0,67.0,100.0
S5219,Emma,Williams,student4219@university.com,Female,24.0,Engineering,83.53,62.26,59.57,61.02,92.12,9.69,79.76,57.02,C,1.0,20,45.0,60.0,57.0
S3677,Emma,Jones,student2677@university.com,Male,22.0,Business,74.55,95.89,72.93,84.77,75.27,0.34,87.7,89.6,F,0.0,19,78.0,88.0,36.0
S7363,Omar,Johnson,student1106@university.com,Male,20.0,Engineering,63.35,59.19,97.41,88.61,92.65,5.64,59.07,91.35,B,0.0,75,100.0,62.0,56.0
S8229,Ahmed,Williams,student850@university.com,Male,18.0,CS,67.5,84.12,57.41,70.37,57.82,4.13,63.06,80.6,B,0.0,64,62.0,87.0,58.0
S10748,Maria,Johnson,student1546@university.com,Female,20.0,Engineering,80.48,52.11,81.5,63.58,60.45,5.81,78.39,73.08,B,0.0,65,87.0,63.0,98.0
S3139,Sara,Johnson,student2139@university.com,Male,22.0,CS,55.26,98.31,53.83,96.66,86.9,5.26,63.77,69.96,F,0.0,79,78.0,84.0,83.0
S8812,Omar,Davis,student3548@university.com,Female,19.0,Mathematics,63.17,52.98,99.9,63.47,91.43,0.61,75.74,51.73,A,0.0,74,88.0,74.0,79.0
S5061,Ahmed,Smith,student4061@university.com,Male,19.0,Business,93.13,52.94,54.89,83.88,65.37,2.71,99.72,63.12,B,0.0,67,58.0,79.0,96.0
S3999,Liam,Jones,student2999@university.com,Male,20.0,Engineering,98.1,91.67,45.47,57.23,76.34,1.39,55.65,77.58,A,0.0,54,51.0,48.0,80.0
S3173,Sara,Brown,student2173@university.com,Female,21.0,Engineering,92.26,64.8,99.58,63.96,95.34,6.15,65.42,70.19,F,1.0,61,75.0,32.0,50.0
S7771,Ahmed,Davis,student359@university.com,Female,22.0,CS,54.5,92.54,84.18,81.84,57.03,5.32,97.78,57.57,F,0.0,77,100.0,74.0,59.0
S7938,Liam,Smith,student1375@university.com,Male,22.0,CS,96.38,87.31,41.46,65.23,61.69,9.31,61.19,97.94,A,0.0,31,76.0,100.0,56.0
